opportunity_id,title,pattern,partner_id,weighted_score,band,evidence_confidence,pathway_overall,binding_gap,treatment,treatment_rationale,delivery_model,second_best,exit_condition,cost_note,validation_triage,interdependencies,complementarity_ids,evidence_ids
OPP-01,Assured multi-orbit SATCOM through allied and commercial augmentation (SPA9102 window live),technology,P-US,86,A,Medium,AMBER,"authority (AMBER): narrowband at RFT under First Pass only; wideband and alternative-communications lines of effort remain unscoped (EV-MILSATCO-09, EV-MILSATCO-10); resource (AMBER): IIP envelope committed (A$5.2-7.2bn) but wideband acquisition unapproved; interim posture rests on WGS to the 2029 access horizon, Optus C1 contracted to September 2034 and Intelsat IS-22 UHF to at least 2033 (EV-MILSATCO-12, EV-MILSATCO-13, EV-MILSATCO-15, EV-MILSATCO-16, EV-MILSATCO-22); sovereignty (AMBER): structural dependency on US and commercial providers (EV-AUINPUTS-20)",Act now,"Live window closing within ~12 months (RFT announced 10 July 2026, EV-MILSATCO-07 FACT/High; SPA9102 close 19 August 2026 TO_VERIFY per EV-MILSATCO-09; responses ~November 2026, EV-MILSATCO-22) with A-band value; the v1 resource gap has partially resolved into a funded timing window, and interim assured-access negotiation proceeds in parallel. The narrowband RFT response itself is owned by OPP-14 ",hybrid,Hosted-payload and sovereign-demonstrator line: Optus/Inovor-consortium sovereign LEO satellite targeted for launch early 2028 (EV-MILSATCO-19); IS-22 UHF extension options run to 2041 (EV-MILSATCO-14,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).","EV-MILSATCO-09 (RFT close date) - verify on AusTender before 1 Aug 2026 (GL-27); VEH-US-26 WGS post-2029 renewal path; EV-USSFCSPO-18/-19 (SpaceNews-derived, Medium) - replace with official MoU record","OPP-14:delivery-leg-of: OPP-14 owns the live SPA9102 narrowband RFT response; OPP-01 owns the wideband/alternative-communications and multi-orbit architecture decision space (single-owner rule, red-team 2026-07-18)",C-01,EV-AUINPUTS-10; EV-AUINPUTS-11; EV-USSFCSPO-18; EV-USSFCSPO-19; EV-AUINPUTS-20; EV-MILSATCO-07; EV-MILSATCO-08; EV-MILSATCO-09; EV-MILSATCO-10; EV-MILSATCO-11; EV-MILSATCO-12; EV-MILSATCO-13; EV-MILSATCO-15; EV-MILSATCO-16; EV-MILSATCO-19; EV-MILSATCO-22
OPP-02,Southern-hemisphere SDA sensing network deepening,geographic,P-US,91,A,High,AMBER,"resource (AMBER): DARC support costs reported to pressure JP9360 funding (EV-AUINPUTS-14, Low confidence); no JP9360 tranche award evidenced in 2025-26 (EV-SDAPROGR-03)",Act now,"Operations already in execution; A-band value with a single Amber resource gap. Expansion decisions are conditional on JP9360 funding clarity, resolved through the single portfolio-level 'DARC support vs JP9360 tranche funding' decision shared with OPP-03 and OPP-18 (GL-03/GL-08/GL-29), not opportunity-by-opportunity.",bilateral,Multilateral CSpO data-sharing track if bilateral channels stall (EV-USSFCSPO-07).,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).","EV-AUINPUTS-14 (DARC/JP9360 pressure, Low) - validate before next AUSMIN (GL-03); VEH-US-20 (2012 SSA MoU) supersession status","OPP-03:competes-for-resource: DARC support costs reported to pressure the same unawarded JP9360 funding (EV-AUINPUTS-14 Low-confidence; EV-SDAPROGR-03) - one portfolio decision, not two levers; OPP-18:competes-for-resource and hedged-by (conditional): OPP-18 is the claimed commercial-unclassified hedge (DEP-06) yet draws on the same JP9360 money",C-02; C-04; C-05,EV-USSFCSPO-11; EV-USSFCSPO-12; EV-JAPANAU-22; EV-GERMANY-05; EV-AUINPUTS-12; EV-SDAPROGR-03; EV-SDAPROGR-08; EV-SDAPROGR-10; EV-SDAPROGR-12; EV-SDAPROGR-13; EV-SDAPROGR-21; EV-USSFCSPO-04
OPP-02,Southern-hemisphere SDA sensing network deepening,geographic,P-JP,76,B,Medium,AMBER,instrument (AMBER): no explicit space lines of effort in FSDC-era statements (EV-JAPANAU-15); security (AMBER): ISA exists but SDA releasability arrangements unevidenced (EV-JAPANAU-17),Build pathway,"B-band value with Amber instrument/security gaps; lever a space annex under the FSDC and a release matrix before proposal maturity (EV-JAPANAU-15, EV-JAPANAU-17).",bilateral,Multilateral CSpO data-sharing track if bilateral channels stall (EV-USSFCSPO-07).,Exit/switch: fall back to the CSpO data-sharing track (second_best) if no FSDC space annex or SDA release matrix (GL-04/GL-05) is agreed within the next 2+2 cycle.,,,"OPP-03:competes-for-resource: DARC support costs reported to pressure the same unawarded JP9360 funding (EV-AUINPUTS-14 Low-confidence; EV-SDAPROGR-03) - one portfolio decision, not two levers; OPP-18:competes-for-resource and hedged-by (conditional): OPP-18 is the claimed commercial-unclassified hedge (DEP-06) yet draws on the same JP9360 money",C-02; C-04; C-05,EV-USSFCSPO-11; EV-USSFCSPO-12; EV-JAPANAU-22; EV-GERMANY-05; EV-AUINPUTS-12; EV-SDAPROGR-03; EV-SDAPROGR-08; EV-SDAPROGR-10; EV-SDAPROGR-12; EV-SDAPROGR-13; EV-SDAPROGR-21; EV-USSFCSPO-04
OPP-02,Southern-hemisphere SDA sensing network deepening,geographic,P-DE,69,B,Medium,AMBER,authority (AMBER): civil-military GSSAC governance for foreign exchange unevidenced (EV-GERMANY-06); security (UNKNOWN): AU-DE information-release arrangements unevidenced (EV-GERMANY-14); technical (AMBER): catalogue interface compatibility unstudied (EV-GERMANY-08); resource (AMBER): no resourced bilateral activity evidenced (EV-GERMANY-21); mechanism (AMBER): no mechanism selected; workshop/data-protocol candidates (EV-GERMANY-21),Explore,"B-band on raw scoring (69/100) but two Unknowns and an intent-level bilateral instrument; validate releasability, then negotiate the implementing arrangement under the March 2026 Declaration of Intent (VEH-GERMANY-09) before any bilateral design. v2: instrument gap partially closed by the Declaration of Intent; remaining binding gap is releasability.",bilateral,Multilateral CSpO data-sharing track if bilateral channels stall (EV-USSFCSPO-07).,,,,"OPP-03:competes-for-resource: DARC support costs reported to pressure the same unawarded JP9360 funding (EV-AUINPUTS-14 Low-confidence; EV-SDAPROGR-03) - one portfolio decision, not two levers; OPP-18:competes-for-resource and hedged-by (conditional): OPP-18 is the claimed commercial-unclassified hedge (DEP-06) yet draws on the same JP9360 money",C-02; C-04; C-05,EV-USSFCSPO-11; EV-USSFCSPO-12; EV-JAPANAU-22; EV-GERMANY-05; EV-AUINPUTS-12; EV-SDAPROGR-03; EV-SDAPROGR-08; EV-SDAPROGR-10; EV-SDAPROGR-12; EV-SDAPROGR-13; EV-SDAPROGR-21; EV-USSFCSPO-04
OPP-03,DARC trilateral completion and sovereign SDA balance,operational,P-AUKUS,89,A,High,AMBER,"resource (AMBER): reported cost pressure on JP9360 from DARC support (EV-AUINPUTS-14, Low-confidence assessment); sovereignty (AMBER): allied hosting vs sovereign SDA tension flagged (EV-AUINPUTS-14); operational (AMBER): Australian access to Australian-hosted DARC data not yet evidenced - data-access terms to be agreed before 2027 full operations (EV-SDAPROGR-08; GL-31)",Act now,"In execution with A-band value; the Amber resource/sovereignty tension is resolved through the single portfolio-level 'DARC support vs JP9360' funding decision (GL-08, shared with OPP-02/OPP-18) and is not a reason to slow delivery - but Australian data-access terms (GL-31) must be agreed before 2027 full operations for delivery to count as an Australian capability rather than a hosted one.",multilateral,Sovereign JP9360 tranche acceleration if trilateral funding tensions bind (EV-AUINPUTS-12).,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).",EV-AUINPUTS-14 validation (shared with OPP-02); DARC Australian data-access terms before 2027 FOC (GL-31),OPP-02:competes-for-resource: shared JP9360 funding exposure and shared Exmouth geography single-point risk (DEP-08); OPP-18:competes-for-resource: JP9360 tranche funding (EV-SDAPROGR-03),C-03; C-20; C-23,EV-AUINPUTS-13; EV-USSFCSPO-14; EV-AUINPUTS-14; EV-SDAPROGR-05; EV-SDAPROGR-06; EV-SDAPROGR-07; EV-SDAPROGR-08; EV-SDAPROGR-09
OPP-04,Japan-Australia SDA information sharing and unit-level exchanges,operational,P-JP,76,B,High,GREEN,None - all assessed components Green.,Quick win,"B-band value, Green pathway, low resource demand - executable within the reiterated 2+2 mandate; liaison exchanges already commencing make this the fastest space partnership win available (EV-JAPANSDA-02).",bilateral,CSpO-track information sharing if bilateral tempo lags (EV-JAPANAU-10).,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).",,,C-04,EV-JAPANAU-14; EV-JAPANAU-06; EV-JAPANAU-10; EV-JAPANAU-22; EV-JAPANSDA-01; EV-JAPANSDA-02; EV-JAPANSDA-03; EV-JAPANSDA-10; EV-JAPANSDA-16; EV-JAPANSDA-17
OPP-05,QZSS ground-segment resilience and regional PNT augmentation with Japan,technology,P-JP,71,B,Medium,AMBER,instrument (AMBER): civil trial/hosting arrangements only; defence PNT instrument absent (EV-JAPANAU-05); forum (AMBER): no standing AU-JP PNT forum evidenced (EV-JAPANAU-05); owners (AMBER): JPD new (Apr 2024); Japanese counterpart owner unvalidated (EV-AUINPUTS-15); authority (AMBER): approval route for defence use of QZSS unevidenced (EV-JAPANAU-05); security (AMBER): signal-assurance information release untested (EV-JAPANAU-17); resource (AMBER): no funded joint activity evidenced (EV-JAPANAU-05); sovereignty (AMBER): adds another foreign-owned system; fallback framing needed (EV-CONVERSA-08); mechanism (AMBER): study TOR/technical exchange not yet selected (EV-JAPANAU-05),Explore,B-band (71) but pathway Amber across most components and defence applicability unproven; a bounded joint study is the right first exposure.,bilateral,"Commercial augmentation services (SouthPAN precedent, EV-CONVERSA-10).",,,,,C-06,EV-JAPANAU-04; EV-JAPANAU-05; EV-AUINPUTS-15; EV-CONVERSA-08; EV-RESILIEN-15; EV-RESILIEN-16; EV-RESILIEN-17; EV-JAPANSDA-15
OPP-06,Indian Ocean ground-segment partnership with India (Gaganyaan extension),geographic,P-IN,74,B,Medium,AMBER,"instrument (AMBER): civil instruments strengthening: 2021-amended ISRO-ASA MoU, November 2024 crew-recovery IA, and a reported second (December 2024) IA covering the tracking terminal (TO_VERIFY); defence-space annex still absent - June 2026 Defence Ministers' Dialogue statement contains no space content (EV-INDIACOC-05, EV-INDIACOC-06, EV-INDIACOC-07, EV-INDIACOC-18); owners (AMBER): Australian and Indian defence-space owners unassigned (EV-QUADINDI-22); authority (AMBER): approval route for defence tracking support undefined (EV-QUADINDI-09); security (AMBER): space-data release arrangements unevidenced (EV-QUADINDI-09); mechanism (AMBER): follow-on mechanism (arrangement/annex) not selected (EV-QUADINDI-22)",Build pathway,B-band value on a proven civil base; defence extension is analyst assessment (EV-QUADINDI-22) requiring an instrument and release arrangements before proposals mature.,hybrid,Bilateral civil-only track via ISRO-ASA instruments if defence extension stalls (EV-QUADINDI-06).,Exit/switch: revert to the civil-only ISRO-ASA track (second_best) if a defence-space annex cannot be scoped under the 2026 Joint Declaration by the next annual summit cycle.,,,,C-09,EV-QUADINDI-06; EV-QUADINDI-07; EV-QUADINDI-08; EV-QUADINDI-09; EV-QUADINDI-22; EV-INDIACOC-01; EV-INDIACOC-02; EV-INDIACOC-03; EV-INDIACOC-05; EV-INDIACOC-07; EV-INDIACOC-14; EV-INDIACOC-18; EV-INDIACOC-19
OPP-07,Early integration into USSF Force Design (IPS LOE 1),institutional,P-US,87,A,Medium,AMBER,"security (UNKNOWN): release tier for Force Design artefacts unconfirmed (EV-USSFCSPO-03); resource (AMBER): space workforce nascent - first SIET graduates June 2026 (EV-USSFCSPO-17); sovereignty (AMBER): influence-through-contribution model, no legal entitlement (EV-USSFCSPO-20)",Act now,"Live window: SF/S9 stand-up and the public Objective Force 2040 baseline make 2026 the design-in year; A-band value on raw scoring (87/100; renormalised sensitivity view 92) justifies participation as a CONDITIONAL ask - approve subject to release-tier confirmation (GL-12, ACSO/FCP channel) before the first Australian Force Design input, with the security Unknown validated in parallel (per method ",bilateral,CSpO-mediated participation if bilateral bandwidth constrains (EV-USSFCSPO-07).,,"Cost: not estimated in this open-source baseline - order of magnitude TBD at custodian validation. No new-money ask is implied by the treatment label; any resource ask must be sized before decision (all A$ figures elsewhere in this record are existing program context, not asks).",EV-USSFCSPO-03 release tier for Force Design artefacts (GL-12) - decision condition; EV-USSFFORC-10 SF/S9 task-reassignment (ASSESSMENT) confirmation,,C-14; C-16,EV-USSFCSPO-02; EV-USSFCSPO-03; EV-USSFCSPO-05; EV-USSFCSPO-17; EV-USSFCSPO-20; EV-USSFFORC-04; EV-USSFFORC-05; EV-USSFFORC-06; EV-USSFFORC-07; EV-USSFFORC-10; EV-USSFFORC-12
OPP-08,US commercial launch from Australian spaceports under the TSA,commercial,P-US,72,B,Medium,RED,"security (RED): MTCR SLV technology on the Excluded Technology List requires individual US licences; segregated areas bar Australian access (EV-AUKUSLFE-05, EV-AUKUSLFE-19)",Build pathway,"Acceptance-test case (V7 s35): the highest-value option in this opportunity carries a RED security component - launch-vehicle technology transfer is blocked by MTCR exclusions, so only hosting-revenue activity can proceed while the technology-access gap is levered.",commercial,"Sovereign pathway via Gilmour Eris maturation (maiden test flight 30 July 2025, EV-AUINPUTS-18).",Exit/switch: hold at pathway-design and shift weight to the Gilmour Eris sovereign line (second_best) if no MTCR/ETL licensing relief (GL-14) is evidenced at the next export-control review.,,,,C-12; C-13,EV-AUKUSLFE-16; EV-AUKUSLFE-17; EV-AUKUSLFE-18; EV-AUKUSLFE-19; EV-AUKUSLFE-21; EV-GERMANY-17
