evidence_id,topic_key,research_round,label,confidence,claim,verification_verdict,verification_correction,confidence_note,conflict_note,source_title,source_org,source_date,source_ref,relevance,access_date,validation_status
EV-RONINS20-01,ronins-2026,,TO_VERIFY,Low,"The blog 'Global Space Power Dynamics in 2026' (Ronin's Grips, 5 Feb 2026) ranks 20 military space powers with the US first (~247+ military satellites claimed), China second (~157+), Russia third (~110), and Australia 12th, characterising Australia's role as Space Domain Awareness and resilient communications for dispersed forces.",,,,,Global Space Power Dynamics in 2026,Ronin's Grips Analytics Blog,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,Partner capability — external benchmark of relative space power; ranking methodology and satellite counts unverified,2026-07-18,Custodian validation pending
EV-RONINS20-02,ronins-2026,,ASSESSMENT,Medium,"The blog's central thesis is that the unipolar moment of US space dominance has ended and that grey-zone counterspace activity (jamming, laser dazzling, cyber intrusion, co-orbital manoeuvre) is the normalised form of orbital competition, with proliferated 'anti-fragile' LEO architectures as the emerging resilience strategy for the US, China and Europe.",,,,,Global Space Power Dynamics in 2026,Ronin's Grips Analytics Blog,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,"Constraint — threat environment shaping any Australian partnership; consistent with corroborated events (Cosmos 1408, SJ-21, Ukraine EW)",2026-07-18,Custodian validation pending
EV-RONINS20-03,ronins-2026,,FACT,High,"Seven nations — Australia, Canada, France, Germany, New Zealand, the United Kingdom and the United States — jointly released the Combined Space Operations (CSpO) Vision 2031 statement on 23 February 2022, committing to information sharing, aligned policy development and combined national-security space capability.",CORRECTED,"Seven nations — Australia, Canada, France, Germany, New Zealand, the UK and the US — jointly released the CSpO Vision 2031 statement on 22 February 2022 (Australia's Department of Defence announcement was dated 23 February due to Australian local time).",,Date conflict resolved: US DoD announced CSpO Vision 2031 on 22 Feb 2022 (US time); Australian Department of Defence release is dated 23 Feb 2022 (AEDT). Same event — record the date per the source cited.,Release of the Combined Space Operations Vision 2031 statement,Australian Department of Defence / US DoD / UK MoD / NZ MoD (consistent official releases),2022-02,https://www.defence.gov.au/news-events/releases/2022-02-23/release-combined-space-operations-vision-2031-statement,Forum — CSpO is an existing multilateral vehicle in which Australia is a founding participant,2026-07-18,Custodian validation pending
EV-RONINS20-04,ronins-2026,,TO_VERIFY,Medium,"The blog states that Japan participates in CSpO alongside Australia; the founding-membership sources accessed this session confirm only the original seven nations, so post-2022 CSpO enlargement (e.g., Japan) needs authoritative confirmation.",,,,,Global Space Power Dynamics in 2026 / CSpO Vision 2031 releases,Ronin's Grips blog vs official CSpO releases,2026-02,https://blog.roninsgrips.com/global-space-power-dynamics-in-2026/,Forum — current CSpO membership determines the multilateral partner set available to Australia,2026-07-18,Custodian validation pending
EV-RONINS20-05,ronins-2026,,FACT,High,"On 4 November 2024 the Australian Department of Defence cancelled JP9102 (the multi-billion-dollar GEO military SATCOM project contracted to Lockheed Martin), stating that 'a single orbit GEO-based satellite communications system would not meet strategic priorities' and pivoting to a multi-orbit approach for security and resilience.",CORRECTED,"On 4 November 2024 the Australian Department of Defence cancelled JP9102, the multi-billion-dollar (~A$7B) GEO military SATCOM project for which Lockheed Martin Australia had been named preferred bidder in April 2023 — no acquisition contract had been signed; Defence 'ceased its procurement activity' — stating that 'a single orbit GEO-based satellite communications system would not meet strategic priorities' and pivoting to a multi-orbit approach.",,,Australia abandons geostationary satellite program to explore multi-orbit options,SpaceNews (quoting Australian Department of Defence statement),2024-11,https://spacenews.com/australia-abandons-7-billion-geostationary-satellite-program-to-explore-multi-orbit-options/,"Australian input / dependency — Australia's deliberate shift toward multi-orbit, partner- and commercially-augmented SATCOM architectures",2026-07-18,Custodian validation pending
EV-RONINS20-06,ronins-2026,,TO_VERIFY,Medium,"Reported valuations of the cancelled JP9102 program differ across sources (approximately US$5 billion in SpaceNews, ~A$7 billion in Australian trade press, '$5.3B' in the blog); the exact program value should be taken from Australian Government budget documents rather than secondary reporting.",,,,,Australia abandons geostationary satellite program / Defence axes JP9102,SpaceNews / Australian Defence Magazine / CriticalComms,2024-11,https://spacenews.com/australia-abandons-7-billion-geostationary-satellite-program-to-explore-multi-orbit-options/,Australian input — scale of resource reallocation available to alternative partnership instruments,2026-07-18,Custodian validation pending
EV-RONINS20-07,ronins-2026,,FACT,High,"On 15 November 2021 Russia conducted a direct-ascent anti-satellite missile test that destroyed the defunct satellite Cosmos 1408, generating more than 1,500 pieces of trackable orbital debris; USSPACECOM Commander Gen. James Dickinson stated the debris 'will continue to pose a threat to activities in outer space for years to come'.",CONFIRMED,,,,"Russian direct-ascent anti-satellite missile test creates significant, long-lasting space debris",United States Space Command,2021-11,https://www.spacecom.mil/Newsroom/News/Article-Display/Article/2842957/russian-direct-ascent-anti-satellite-missile-test-creates-significant-long-last/,Constraint — demonstrated kinetic ASAT threat and debris risk to any orbit regime Australia depends on,2026-07-18,Custodian validation pending
EV-RONINS20-08,ronins-2026,,FACT,High,"On 27 March 2019 India conducted the Mission Shakti kinetic ASAT test against a low-Earth-orbit satellite, becoming the fourth nation (after the US, Russia and China) to demonstrate the capability; India's Ministry of External Affairs stated the test was conducted at low altitude so debris would decay within weeks and that India opposes weaponisation of outer space.",CONFIRMED,,,,"Frequently Asked Questions on Mission Shakti, India's Anti-Satellite Missile test conducted on 27 March, 2019","Ministry of External Affairs, Government of India",2019-03,https://www.mea.gov.in/press-releases.htm?dtl%2F31179%2FFrequently_Asked_Questions_on_Mission_Shakti_Indias_AntiSatellite_Missile_test_conducted_on_27_March_2019=,"Partner capability — India's demonstrated counterspace capability and declared restraint posture, relevant to Indo-Pacific partner selection",2026-07-18,Custodian validation pending
EV-RONINS20-09,ronins-2026,,FACT,High,"On 11 January 2007 China destroyed its defunct Fengyun-1C weather satellite at ~865 km altitude with a kinetic kill vehicle, creating the largest debris event in spaceflight history (over 3,000 trackable fragments, thousands still on orbit).",CONFIRMED,,,,"2007 Chinese anti-satellite missile test (multiple consistent accounts incl. SpaceNews, NASA-linked debris tracking)",Wikipedia / SpaceNews / Orbital Radar (consistent multi-source record),2007,https://en.wikipedia.org/wiki/2007_Chinese_anti-satellite_missile_test,Constraint — enduring debris environment and Chinese kinetic ASAT precedent shaping partnership risk calculus,2026-07-18,Custodian validation pending
EV-RONINS20-10,ronins-2026,,FACT,High,"In January 2022 China's Shijian-21 (SJ-21) spacecraft docked with the defunct Beidou-2 G2 navigation satellite and towed it roughly 3,000 km above the GEO belt (well beyond the standard graveyard orbit) before undocking and returning to GEO, demonstrating dual-use rendezvous-and-proximity/on-orbit-servicing capability, as tracked by commercial SSA provider ExoAnalytic Solutions.",CONFIRMED,,,,China's Shijian-21 towed dead satellite to a high graveyard orbit,SpaceNews / ExoAnalytic Solutions,2022-01,https://spacenews.com/chinas-shijian-21-spacecraft-docked-with-and-towed-a-dead-satellite/,Partner capability / constraint — Chinese co-orbital capability the blog cites as evidence of near-parity in counterspace vectors,2026-07-18,Custodian validation pending
