id,dimension,concentration,description,treatment,treatment_owner,affected_inputs,affected_opportunities,evidence_ids
DEP-01,Nation,High,"United States concentration across every core mission area: WGS wideband access, M-code PNT, DARC/SST/C-band SDA hosting and operation, Landsat Next EO, TraCSS civil SSA, force design and the JCO construct. Australia is assessed as structurally dependent on the US for core space services.","Deliberate diversification per the framework: second-ally legs (Japan OPP-17; Germany Declaration of Intent on a global space-surveillance sensor network, March 2026 - VEH-GERMANY-09), sovereign-tasked commercial layers (OPP-18, OPP-20), and sovereignty conditions (fallback, exit, data control per V","TO_ASSIGN (proposed class: Defence Space Command + Strategy, Policy & Industry)",AUS-IN-03; AUS-IN-10; AUS-IN-14; AUS-IN-15; AUS-IN-21; AUS-IN-22; AUS-IN-17; AUS-IN-16,OPP-01; OPP-02; OPP-03; OPP-07; OPP-14; OPP-15; OPP-18; OPP-20; OPP-21,EV-AUINPUTS-20; EV-USSCSPAC-09; EV-SDAPROGR-21; EV-RESILIEN-23; EV-EOCONTIN-21
DEP-02,Nation,Medium,"Japan single-source dependency for geostationary weather imagery: BoM services are critically dependent on JMA's Himawari, with Himawari-10 development delayed and the ALOS-4 SAR access channel unresolved.",Sustain the BoM-JMA Strategic Relationship Arrangement (11 November 2024) with Australian Himawari-10 co-investment; define custodian-confirmed contingency access to alternative imagery at comparable cadence (the input's stated success condition).,TO_ASSIGN (proposed class: Bureau of Meteorology),AUS-IN-09; AUS-IN-10,OPP-10,EV-CONVERSA-02; EV-CONVERSA-03; EV-EOCONTIN-13; EV-EOCONTIN-14; EV-EOCONTIN-15
DEP-03,Provider,High,"Interim military SATCOM rides on two single hosted payloads and one provider family: Optus C1 (aging, inclined orbit, contracted to September 2034 on 2022-vintage evidence) and Intelsat/SES IS-22 UHF (to at least 2033) - with SES describing limited comparable UHF capacity in the Indo-Pacific.","Deliver the SPA9102 sovereign UHF bird with availability-based support; design the wideband RFT for multi-provider award; hold IS-22 extension options (to 2041) as bridge, not destination.",TO_ASSIGN (proposed class: CASG Air Defence & Space Systems),AUS-IN-03,OPP-01; OPP-14,EV-MILSATCO-13; EV-MILSATCO-14; EV-MILSATCO-15; EV-MILSATCO-16
DEP-04,Provider,Medium,"Starlink has become the de facto Pacific disaster-resilience connectivity layer (Vanuatu earthquake response, Tonga restoration) - a single commercial provider under mixed regional governance, with the main alternative (Kacific) shrinking its satellite ambitions.","Promote the in-country community-gateway model (Nauru, Kosrae precedents), multi-vendor LEO procurement guidance through the CCRC research line, and cable redundancy (Tu'i Vava'u model) so no Pacific partner depends on one provider's policy.",TO_ASSIGN (proposed class: DFAT Pacific),AUS-IN-20,OPP-11; OPP-19,EV-PACIFICC-05; EV-PACIFICC-06; EV-PACIFICC-07; EV-PACIFICC-10; EV-PACIFICC-12; EV-PACIFICC-20
DEP-05,Orbit-architecture,High,"Legacy single-orbit GEO concentration in military SATCOM persists until the multi-orbit architecture is delivered: the JP9102 cancellation rationale itself, with the first multi-orbit elements (sovereign LEO demonstrator) not due until early 2028.",Hold the NDS/IIP multi-orbit commitment through Second Pass; scope the alternative-space-communications line of effort; sequence the Optus/Inovor LEO demonstration (early 2028) as the proof point.,TO_ASSIGN (proposed class: CASG Air Defence & Space Systems),AUS-IN-03,OPP-01; OPP-14; OPP-16,EV-MILSATCO-01; EV-MILSATCO-02; EV-MILSATCO-11; EV-MILSATCO-19
DEP-06,Information domain,High,"Operational SDA and warning depend on allied-classified feeds: DARC Early Use is conducted remotely by the US 20th Space Surveillance Squadron, Australian data-access terms are unconfirmed, and the sovereign fusion layer (JP9360) shows no contract award in 2025-26.",Secure DARC data-access terms before 2027 full operations; fund the sovereign JP9360 layer; grow the commercial-unclassified JCO tier as the releasable hedge; work CSpO information-sharing barriers through the PLWG line Australia hosted in June 2025. (Data-access precondition now tracked as GL-31 wi,TO_ASSIGN (proposed class: Defence Space Command),AUS-IN-14; AUS-IN-17,OPP-02; OPP-03; OPP-18,EV-SDAPROGR-03; EV-SDAPROGR-08; EV-SDAPROGR-21; EV-MULTILAT-14; EV-MULTILAT-15
DEP-07,Technology-source,High,"All Australian PNT rests on foreign-owned GNSS; SouthPAN - the flagship national augmentation - itself relies on GPS data as essential input, procures its space segment from a foreign operator, and excludes northern Australia from planned Safety-of-Life coverage.","Layered mitigation per the ADF multi-layered PNT approach: M-code access, sovereign quantum timing (TEMPO.Space), LEO-PNT evaluation, and the ANCHOR-recommended national PNT policy (none exists as of February 2026).",TO_ASSIGN (proposed class: Joint PNT Directorate / JCG),AUS-IN-15,OPP-05; OPP-15; OPP-16,EV-RESILIEN-04; EV-RESILIEN-05; EV-RESILIEN-20; EV-RESILIEN-23; EV-CONVERSA-08; EV-CONVERSA-10
DEP-08,Geography-site,High,"National SDA sensing is concentrated on one peninsula: the SST, C-band radar and DARC Site 1 all sit at or beside Harold E. Holt, Exmouth - a single geographic point of failure for weather, attack or accident.","Geographic dispersal through the commercial layer (LeoLabs south-west WA radar, EOS Mount Stromlo/Learmonth, Silentium Swan Reach SA) and reliance on DARC Sites 2-3 (UK 2030, third US site) for global redundancy.",TO_ASSIGN (proposed class: Defence Space Command),AUS-IN-17; AUS-IN-14,OPP-02; OPP-03; OPP-18,EV-SDAPROGR-05; EV-SDAPROGR-09; EV-SDAPROGR-10; EV-SDAPROGR-12; EV-SDAPROGR-15; EV-SDAPROGR-16; EV-SDAPROGR-17
DEP-09,Workforce,High,"Every opportunity in the portfolio draws on a nascent space workforce: first ADF Space Initial Employment Training graduates June 2026, the Joint PNT Directorate is ~17 people, and the DSR-directed workforce method is not evidenced as established.","Partner training pipelines as the fastest levers: JCO-200 course line, reciprocal Japan exchanges, US embeds and command billets, exercise repetitions (OPP-21); sequence new commitments against workforce reality rather than ambition.",TO_ASSIGN (proposed class: DSpC workforce line),AUS-IN-05,OPP-04; OPP-07; OPP-09; OPP-18; OPP-21,EV-USSFFORC-12; EV-RESILIEN-07; EV-AUINPUTS-03; EV-JAPANSDA-16; EV-USSFFORC-11
DEP-10,Political durability,High,"US appropriations exposure across programs Australia has bought into: Landsat Next restructured/descoped in the FY2026 request after Australia committed A$207.4m+, TraCSS faces funding cuts, and the SDA Transport Layer/MILNET line has changed direction twice in one budget cycle.; domestically, ASPI's reading of the 2024 IIP is that only ~$590m of the $9-12bn planned space investment was approved t","Fallback arrangements and documented risk acceptance for each US-exposed program; diversified channels (Copernicus hub, Japan legs, commercial EO) held at readiness; partnership terms re-baselined at AUSMIN when US programs restructure.","TO_ASSIGN (proposed class: Defence Strategy, Policy & Industry + DFAT)",AUS-IN-10; AUS-IN-21; AUS-IN-22; AUS-IN-13,OPP-07; OPP-10; OPP-20; OPP-02,EV-EOCONTIN-08; EV-EOCONTIN-09; EV-EOCONTIN-10; EV-USSCSPAC-17; EV-USSCSPAC-19; EV-USSFFORC-21; EV-AUINPUTS-09
