n,entry
1,"{'finding': 'EVID-1 (score renormalisation unauthorised)', 'action': 'OPP-07/P-US headline score 92 -> 87 (raw weighted sum; renormalised value retained as declared sensitivity view); band A -> A', 'date': '2026-07-18'}"
2,"{'finding': 'EVID-1 (score renormalisation unauthorised)', 'action': 'OPP-02/P-DE headline score 74 -> 67 (raw weighted sum; renormalised value retained as declared sensitivity view); band B -> B', 'date': '2026-07-18'}"
3,"{'finding': 'EVID-1 (score renormalisation unauthorised)', 'action': 'OPP-11/P-PIF headline score 66 -> 63 (raw weighted sum; renormalised value retained as declared sensitivity view); band B -> C', 'date': '2026-07-18'}"
4,"{'finding': 'EVID-1 (score renormalisation unauthorised)', 'action': 'OPP-13/P-AE headline score 56 -> 53 (raw weighted sum; renormalised value retained as declared sensitivity view); band C -> C', 'date': '2026-07-18'}"
5,"{'finding': 'EVID-1 (score renormalisation unauthorised)', 'action': 'OPP-15/P-US headline score 77 -> 73 (raw weighted sum; renormalised value retained as declared sensitivity view); band B -> B', 'date': '2026-07-18'}"
6,"{'finding': 'EVID-1/SENIOR-10', 'action': 'OPP-07 treatment_rationale restated as conditional ask on raw score; renormalisation dependency of former #1 ranking removed', 'date': '2026-07-18'}"
7,"{'finding': 'COMP-8 (Germany post-DoI inconsistency)', 'action': 'OPP-02/P-DE instrument_forum re-scored 2->3 on VEH-GERMANY-09 (in force); score recomputed to 69 (raw); GL-06 updated', 'date': '2026-07-18'}"
8,"{'finding': 'EVID-2/SENIOR-6', 'action': 'OPP-14 forum note, time_resources rationale, confidence_note and treatment_rationale re-anchored on EV-MILSATCO-07 (FACT/High) with EV-MILSATCO-09 tagged TO_VERIFY inline; forum stays GREEN on the FACT record', 'date': '2026-07-18'}"
9,"{'finding': 'EVID-11/COMP-2', 'action': 'OPP-01 evidence_confidence High -> Medium (five criteria on Medium second-hand records); IIP planned-vs-approved caveat added to OPP-01/OPP-14 time_resources rationales', 'date': '2026-07-18'}"
10,"{'finding': 'EVID-3', 'action': ""Four leverage_points (AUS-IN-03/-10/-15/-17 via VEH-US-02) rewritten: 'AUSMIN 2026 ~September' prediction replaced with 'next AUSMIN (last held 8 Dec 2025)' per method note 12; MGUE ask given VEH-US-25 fallback channel; method note corrected"", 'date': '2026-07-18'}"
11,"{'finding': 'EVID-4', 'action': ""OPP-02/P-US value_proposition 5/5 re-cited from blog-anchored EV-RONINS20-16 to partner-acknowledgment FACTs EV-USSFCSPO-04 + EV-USSFCSPO-11; score unchanged per finding's re-cite branch"", 'date': '2026-07-18'}"
12,"{'finding': 'EVID-9/STRAT-2', 'action': 'OPP-02/P-US instrument GREEN re-based on VEH-US-17 + VEH-US-24 with 2012 MoU caveated TO_VERIFY; treatment_rationale points at the single portfolio funding decision', 'date': '2026-07-18'}"
13,"{'finding': 'EVID-5', 'action': 'OPP-04/P-JP mutual_benefit 5 -> 4 (one-way liaison dispatch does not meet the 5-anchor); score 79 -> 76, band B and Quick-win treatment unchanged; declared in changelog', 'date': '2026-07-18'}"
14,"{'finding': 'EVID-6', 'action': 'OPP-09/P-CSPO capability_maturity 5 -> 4 (15 months past IOC with core CONOPS undrafted fits anchor 4); score 77 -> 74, band B and Build-pathway treatment unchanged; declared in changelog', 'date': '2026-07-18'}"
15,"{'finding': 'EVID-7', 'action': 'OPP-10/P-US resource RED retained (correctly rests on EV-EOCONTIN-08 FACT/High); staleness caveat added and two dated validation tasks registered as GL-33', 'date': '2026-07-18'}"
16,"{'finding': 'EVID-8', 'action': ""VEH-US-27 TSA status contradiction resolved to 'In force' per EV-USSFFORC-15 (FACT/High); Australian Treaty Series confirmation still tasked; AUS-IN-04/AUS-IN-24 leverage points now consistent"", 'date': '2026-07-18'}"
17,"{'finding': 'EVID-10/STRAT-7', 'action': 'OPP-03 operational component GREEN -> AMBER (Australian access to DARC data unevidenced); overall stays AMBER; GL-31 created with owner class and pre-2027-FOC due date; DEP-06 cross-referenced', 'date': '2026-07-18'}"
18,"{'finding': 'EVID-12/SENIOR-10/STRAT-3', 'action': 'OPP-18 mutual_benefit 4 re-based on EV-JAPANSDA-17 alone (PWSA claim moved to confidence_note); treatment restated as note+direct conditional ask; hedge claim made conditional', 'date': '2026-07-18'}"
19,"{'finding': 'EVID-13', 'action': 'OPP-10/P-JP resource component GREEN -> AMBER to match the delay already conceded in time_resources 3/5; overall stays AMBER (sovereignty already binds); GL-34 created', 'date': '2026-07-18'}"
20,"{'finding': 'STRAT-1/STRAT-3', 'action': 'interdependencies field added (constrains / competes-for-resource / hedges / hedged-by / delivery-leg-of) for OPP-01<->OPP-14, OPP-02/03/18 triangle, OPP-15<->OPP-16, OPP-10<->OPP-20; SPA9102 single-owner precedence recorded (OPP-14 delivers, OPP-01 decides architecture)', 'date': '2026-07-18'}"
21,"{'finding': 'STRAT-4', 'action': 's3/12.1 comparative-factor blocks (marginal value, substitutability, concentration risk, portfolio overlap, opportunity cost) recorded on all seven Act-now options with explicit DEP-01 concentration notes; remaining 20 options tasked to the plan', 'date': '2026-07-18'}"
22,"{'finding': 'STRAT-4/SENIOR-8', 'action': 'DEP-01 treatment circularity annotated; VEH-GERMANY-09 raw ID replaced with instrument name; AUS-IN-16 added to affected inputs', 'date': '2026-07-18'}"
23,"{'finding': 'STRAT-5/SENIOR-2/SENIOR-3/COMP-10', 'action': ""GapLever schema completed per pathway-rules s3.1 (Action, Due_Date, Status added to all records; owners upgraded to proposed org classes, still TO_ASSIGN pending validation); GL-26..GL-34 created covering every Act-now/Quick-win binding gap on OPP-14, OPP-18, OPP-01, OPP-03, OPP-07 and OPP-10 - 'tracked as a gap action' is now true for all Act-now items; full backlog extension to all non-Green components tasked to plan"", 'date': '2026-07-18'}"
24,"{'finding': 'STRAT-8', 'action': 'DEP records given treatment_owner (proposed classes); V7 s53/s54 clause checklist recorded as named condition on OPP-14 availability contract and OPP-20 DAP renewal; SCN-02/05 mitigations made conditional on contracted clauses', 'date': '2026-07-18'}"
25,"{'finding': 'COMP-4', 'action': 'exit_condition recorded on all 12 Build-pathway options, keyed to the recorded binding gap, the recorded second_best and an evidenced trigger point (pathway-rules s53 exit-provision requirement); OPP-10/P-US exit set under EVID-7', 'date': '2026-07-18'}"
26,"{'finding': 'COMP-1/COMP-2/COMP-7', 'action': 'Register inputs AUS-IN-13, AUS-IN-16 and AUS-IN-19 carried into the model with leverage points; DEP-10 extended with the domestic approval gap (EV-AUINPUTS-09); DEP-01 covers AUS-IN-16; SCN-02 extended with critical-function continuity', 'date': '2026-07-18'}"
27,"{'finding': 'COMP-9', 'action': 'C-23 created (AUS-IN-17 hosting-as-offset, P-AUKUS) and wired into OPP-03 - the allied-hosting-vs-sovereign-funding trade-off now traceable; civil-SSA (C-10/C-11), C-17 and C-22 options tasked to plan', 'date': '2026-07-18'}"
28,"{'finding': 'SENIOR-4', 'action': 'Explicit cost TBD flags added to all nine Act-now/Quick-win options - silence replaced with declared unknowns; cost bands tasked to plan/validation', 'date': '2026-07-18'}"
29,"{'finding': 'SENIOR-5', 'action': ""SCN-09 'No new decisions' counterfactual added, assembled strictly from existing assessments and evidence; names the three evidenced cost-of-delay dates"", 'date': '2026-07-18'}"
30,"{'finding': 'SENIOR-6', 'action': 'validation_triage recorded on every Act-now option: the 2-3 custodian confirmations needed before each decision, with the EV-MILSATCO-07 FACT/High anchor played explicitly', 'date': '2026-07-18'}"
31,"{'finding': 'SENIOR-8/SENIOR-9/COMP-5/COMP-6/COMP-3', 'action': 'V7 expanded and draft-bands status conceded in meta; register carry/exclusion map added (explains non-sequential input IDs); NZ scoping decision and UK white space recorded as choices, not oversights', 'date': '2026-07-18'}"
