n,type,ask,owner
1,approve,"OPP-14: approve the SPA9102 RFT response under a single named accountable owner (proposed: Head Air Defence and Space Systems, CASG ADSS), subject to AusTender verification by 1 Aug 2026 (GL-27); Second Pass timing confirmed by Nov 2026 (GL-26). Needed before the reported 19 Aug 2026 close (TO_VERIFY).",CASG
2,direct,OPP-01: direct that OPP-01 owns the wideband/multi-orbit architecture decision space (OPP-14 owns only the RFT response); name the accountable authority by 19 Aug 2026 (GL-02); require an architecture read-across statement at Second Pass; open WGS access-extension negotiation (VEH-US-26) before the 2029 horizon.,DSC
3,approve,OPP-02 P-US: approve continued sensor operations; direct validation of EV-AUINPUTS-14 before the next AUSMIN (GL-03); no separate expansion funding decision outside RD-1.,DSC
4,direct,OPP-03: direct negotiation of Australian DARC data-access terms before 2027 FOC (GL-31) and recording of the sovereignty condition set in trilateral governance (GL-35).,DSC
5,approve,"OPP-07: approve Force Design participation SUBJECT TO release-tier confirmation (GL-12) before the first Australian input, with the influence-risk fallback documented (GL-32). The condition is the decision.",DSC
6,note,OPP-10 P-JP: note continued Himawari-10/BoM-JMA delivery; direct confirmation of the revised Himawari-10 schedule and definition of comparable-cadence contingency access (GL-34).,TBD (BoM/GA civil custodians)
7,note,OPP-18: note continued CDMC/JCO delivery; direct verification of the JCO participation vehicle (VEH-MULTILATERAL-30) and PWSA-connection intent by Q4 2026 (GL-28).,DSC
8,approve,OPP-04: approve immediate execution of the Japan SDA exchange line - the tranche-1 diversification leg (sovereign-balance ruling Option A).,DSC
9,approve,OPP-21: approve expanded billets and command/planning-role bids in each 2026-27 exercise serial; direct verification of Space Flag currency (EV-MULTILAT-18).,DSC
10,direct,"RD-1: direct the single portfolio decision 'DARC support vs JP9360 tranche funding position' (GL-03/GL-08/GL-29 as one decision) by a named authority within the IIP cycle, before the next AUSMIN; recommended priority order if no new money: OPP-03 > OPP-02 > OPP-18.",Strategy&Plans
11,approve,"RD-2: approve sovereign-balance ruling Option A (execute OPP-04 now; accelerate OPP-17 scoping into T1) - or, if declined, record explicit acceptance that tranche 1 deepens DEP-01 with a review trigger at the first AUSMIN after execution.",Strategy&Plans
12,approve,"RD-3: approve the consolidated, ranked next-AUSMIN agenda (wideband/alt-comms LOEs + Landsat re-baseline first; hosting-offset ledger supporting; MGUE via the VEH-US-25 service-chief fallback) under one owner; noting no 2026 AUSMIN is scheduled as at 18 Jul 2026.",Strategy&Plans
13,direct,RD-4: direct the OPP-15 quantum-PNT sovereign-delivery recommendation to governance and the structuring of AUS-IN-19 offers into every US/AUKUS ask.,DSTG
14,direct,"RD-5: direct completion of the validation backlog before governance submission - full gap backlog (~70 further records), comparative factors to all 27 options, named owners for all 35 GLs and 10 DEP treatments, cost bands on every ask, SCN-04 retrofit and SCN-05/AUS-IN-16 clause-conversion tracked as actions.",Strategy&Plans
