input_id,input_title,vehicle_id,vehicle_name,lever_type,why,next_action,timing
AUS-IN-03,Assured multi-orbit military SATCOM after JP9102 cancellation,VEH-US-26,Wideband Global SATCOM (WGS) Cooperation MoU,parent instrument,The 2007 WGS MoU carries Australia's assured wideband access - the interim backbone until a multi-orbit capability is approved; the evidenced access horizon is 2029.,"Open negotiation of an extended assured-access annex before the 2029 WGS access horizon identified in round-2 reporting (EV-MILSATCO-22, EV-MILSATCO-15).","2026-27, ahead of 2029 horizon"
AUS-IN-03,Assured multi-orbit military SATCOM after JP9102 cancellation,VEH-US-02,AUSMIN (Australia-United States Ministerial Consultations),forum agenda,AUSMIN is the ministerial forum that has historically endorsed SATCOM cooperation steps; the ANZUS 75th anniversary falls September 2026 and AUSMIN 2025 flagged commemoration.,"Table the wideband and alternative-communications lines of effort - the unscoped partnership decision space (EV-MILSATCO-10) - at the next AUSMIN. No 2026 AUSMIN is scheduled in evidence (last held 8 December 2025, VEH-US-02); the ANZUS 75th anniversary (September 2026, VEH-US-01) is an agenda hook,",next AUSMIN (not yet scheduled as of 18 Jul 2026)
AUS-IN-03,Assured multi-orbit military SATCOM after JP9102 cancellation,VEH-US-25,"Statement of Intent on Space Cooperation (USSF - Australian Space Command, June 2026)",policy dialogue,"The June 2026 USSF-Australian Space Command Statement of Intent commits both services to deepen cooperation in military space operations, giving SATCOM resilience a service-chief channel.","Use the SoI channel to align allied augmentation options with the SPA9102 narrowband RFT before the AusTender close of 19 August 2026 (EV-MILSATCO-09, TO_VERIFY; EV-USSFFORC-12).","by 19 Aug 2026, then RFT responses ~Nov 2026"
AUS-IN-03,Assured multi-orbit military SATCOM after JP9102 cancellation,VEH-US-06,Enhanced Space Cooperation (US Force Posture Initiative),annex or project arrangement,The Enhanced Space Cooperation force-posture initiative is the standing umbrella for US space capability cooperation on Australian territory.,Scope a project arrangement for multi-orbit interim services consistent with the 2026 IIP A$5.2-7.2bn SATCOM envelope (EV-MILSATCO-12).,2026-27 IIP cycle
AUS-IN-14,Layered space domain awareness (JP9360),VEH-US-21,Deep Space Advanced Radar Capability (DARC) Trilateral MoU,parent instrument,DARC is the flagship trilateral deep-space sensing programme hosted at Exmouth; Site 1 is in Early Use with full operations expected 2027.,"Confirm Australian data-access terms before full operations (expected 2027); Early Use has run since September 2025 by the US 20th Space Surveillance Squadron from Eglin (EV-SDAPROGR-08, EV-SDAPROGR-09).",before 2027 full operations
AUS-IN-14,Layered space domain awareness (JP9360),VEH-US-38,Australia-US expanded space surveillance partnership update (May 2026),annex or project arrangement,"The reported 1 May 2026 expanded space-surveillance partnership would integrate DARC, the SST and the upgraded C-band radar, with USSF intent to connect Australian sensors to the Proliferated Warfighter Space Architecture by late 2026.","Verify the announcement (EV-SDAPROGR-13, TO_VERIFY) and, if confirmed, formalise the sensor-integration project arrangement on the reported late-2026 PWSA connection timeline.",late 2026 (TO_VERIFY)
AUS-IN-14,Layered space domain awareness (JP9360),VEH-UK-26,Australia-UK space domain awareness capability collaboration (AUKMIN June 2026 commitment),policy dialogue,"AUKMIN June 2026 committed to SDA capability collaboration with the UK - the third DARC nation and Site 2 host (Cawdor Barracks, completion scheduled February 2030).",Convert the AUKMIN commitment (vehicle TO_VERIFY) into a defined UK-Australia SDA workplan aligned with DARC Site 2 delivery (EV-SDAPROGR-09).,2026-27
AUS-IN-14,Layered space domain awareness (JP9360),VEH-GERMANY-09,Australia-Germany Declaration of Intent on a global space-surveillance sensor network / space early-warning system (2026),new agreement,The March 2026 Australia-Germany Declaration of Intent on a global space-surveillance sensor network adds non-US catalogue diversity to JP9360 outcomes.,Negotiate the implementing arrangement under the Declaration of Intent (in force March 2026) for reciprocal sensor-data exchange.,2026-27
AUS-IN-14,Layered space domain awareness (JP9360),VEH-MULTILATERAL-30,Joint Commercial Operations (JCO) cell participation (US-led multinational commercial SDA),contract,JCO provides a commercial-unclassified SDA layer that Australia already operates through the Adelaide Commercial Data Mission Centre.,"Extend commercial SDA data contracts through the JCO construct, building on the September 2025 JCO-200 delivery (EV-JAPANSDA-16).",2026
AUS-IN-17,Sustain allied SDA hosting while protecting sovereign SDA funding,VEH-US-21,Deep Space Advanced Radar Capability (DARC) Trilateral MoU,parent instrument,DARC hosting is the largest single Australian SDA contribution and the strongest offset card - but support costs are reported to pressure sovereign JP9360 funding.,"Set an explicit Defence position on DARC support costs versus JP9360 tranches before full operations expected 2027 (EV-SDAPROGR-09, EV-AUINPUTS-14).",before 2027
