id,opportunity_id,partner_id,component,gap_type,description,lever,owner,action,due_date,status
GL-01,OPP-01,P-US,resource,Resource,No adopted JP9102 replacement project; SPA9102 at First Pass with a narrowband-only RFI.,Prioritisation and resource bid in the next IIP cycle; pilot scope for interim commercial augmentation.,TO_ASSIGN (proposed class: CASG Air Defence & Space Systems),Execute lever: Prioritisation and resource bid in the next IIP cycle; pilot scope for interim commercial augmentation.,2026-27 IIP cycle (wideband/multi-orbit resource bid lodged),Open
GL-02,OPP-01,P-US,authority,Authority,Acquisition approval pathway for multi-orbit SATCOM incomplete.,Delegation mapping and named accountable authority for the SPA9102 successor decision.,TO_ASSIGN (proposed class: Defence Space Command + capability manager),Complete delegation mapping and name the accountable authority for the SPA9102 successor decision before the 19 August 2026 RFT close.,2026-08-19 (named accountable authority before RFT close),Open
GL-03,OPP-02,P-US,resource,Resource,DARC support costs reported to pressure sovereign JP9360 funding (Low-confidence assessment).,Prioritisation with explicit opportunity-cost note; validate the claimed pressure (evidence lever).,"TO_ASSIGN (proposed class: Defence Strategy, Policy & Industry (space portfolio))","Validate the claimed DARC-support-vs-JP9360 funding pressure (EV-AUINPUTS-14, Low) and put the single portfolio-level funding position ('DARC support vs JP9360 tranches') to the owning authority - shared decision with GL-08/GL-29.",before next AUSMIN (EV-AUINPUTS-14 validated; single portfolio decision PD 'DARC support vs JP9360' taken in the IIP cycle),Open
GL-04,OPP-02,P-JP,instrument,Instrument,No explicit space lines of effort in FSDC-era bilateral statements.,Annex or project arrangement under the FSDC parent instrument.,TO_ASSIGN (proposed class: International Policy Division (Japan desk)),Execute lever: Annex or project arrangement under the FSDC parent instrument.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-05,OPP-02,P-JP,security,Security/release,SDA data release arrangements between Australia and Japan unevidenced.,Release matrix and low-side pilot scope under the existing Information Security Agreement.,TO_ASSIGN (proposed class: Defence Security Division + DSpC),Execute lever: Release matrix and low-side pilot scope under the existing Information Security Agreement.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-06,OPP-02,P-DE,instrument,Instrument,Ministerial Declaration of Intent on a joint global space-surveillance sensor network signed 26 March 2026 and in force (VEH-GERMANY-09); residual gap is the implementing arrangement for reciprocal sensor-data exchange (2019 agency SoI still unconfirmed).,Negotiate the implementing arrangement under the Declaration of Intent; use the CSpO parent forum for interim exchanges; validate the 2019 SoI (controlled-record review).,TO_ASSIGN (proposed class: DSpC International (Germany desk)),Execute lever: Negotiate the implementing arrangement under the Declaration of Intent; use the CSpO parent forum for interim exchanges; validate the 2019 SoI (controlled-record review).,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-07,OPP-02,P-DE,security,Evidence,Releasability of SDA data between Australia and Germany unknown.,Research task and partner validation before any design work.,TO_ASSIGN (proposed class: Defence Security Division),Execute lever: Research task and partner validation before any design work.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-08,OPP-03,P-AUKUS,resource,Resource,Reported funding tension between DARC support and JP9360 tranches.,Explicit Defence funding position; prioritisation with opportunity-cost note.,"TO_ASSIGN (proposed class: Defence Strategy, Policy & Industry (space portfolio))",Set the explicit Defence funding position on DARC support vs JP9360 tranches - the SAME portfolio decision as GL-03/GL-29; state the priority order among OPP-02/OPP-03/OPP-18 if no new JP9360 money arrives.,"before next AUSMIN (same portfolio decision as GL-03 - one decision, three opportunities)",Open
GL-09,OPP-05,P-JP,instrument,Instrument,Only civil QZSS arrangements exist; no defence PNT instrument.,Study TOR then a project arrangement or technical exchange plan.,TO_ASSIGN (proposed class: DSpC PNT line),Execute lever: Study TOR then a project arrangement or technical exchange plan.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
GL-10,OPP-06,P-IN,instrument,Instrument,No defence-space arrangement with India; 2026 Joint Declaration is umbrella-level.,Annex under the Joint Declaration; leverage the defence articles/services MoU under development.,TO_ASSIGN (proposed class: International Policy Division (India desk)),Execute lever: Annex under the Joint Declaration; leverage the defence articles/services MoU under development.,TO_ASSIGN (propose: next IIP/AUSMIN cycle review),Open
