input_id,type,title,model_status,description,authority,urgency,time_horizon,success_condition,evidence_ids,leverage_point_count
AUS-IN-01,Priority,"Resilient, reconstitutable and defendable Defence space architecture",watch-only,"The Defence Space Strategy (March 2022) committed around $7 billion of investment this decade to assure access to space, space services and geospatial information, with the objective of a Defence space architecture that is resilient, can be reconstituted if compromised, and defended if under attack (EV-AUINPUTS-04). The strategy itself acknowledges it lacks the detailed ""what"", ""how"" and ""when"" for execution, deferring specifics to an unpublished space program roadmap; envelopes included up to $7 billion through 2030 for sovereign military SATCOM, up to $2 billion through 2038 for space situational awareness, and $3.1–4.5 billion for SATCOM assurance and contested space operations from 2027 onwards (EV-AUINPUTS-06).",Defence Space Strategy 2022.,"**Assessment:** High — the strategy's own acknowledged execution gap, plus the JP9102 cancellation (AUS-IN-03), means the headline priority currently lacks a delivery pathway.",,,,0
AUS-IN-02,policy_priority,Space control to deny interference or attack,carried,"The 2024 IIP commits to measures enhancing Defence's space control capability to deny attempts to interfere with, or attack, Australia's use of the space domain.",2024 Integrated Investment Program; 2024 National Defence Strategy,Medium,0-10 years,Australia contributes meaningfully to allied space-control operations and can protect its own use of space.,EV-AUINPUTS-08; EV-AUINPUTS-07,4
AUS-IN-03,capability_gap,Assured multi-orbit military SATCOM after JP9102 cancellation,carried,"Defence ceased JP9102 procurement on 4 November 2024, stating a single-orbit GEO system would not meet strategic priorities; SPA9102 holds only First Pass approval with a narrowband-only RFI, while the ADF relies on US WGS access and hosted payloads on Optus C-1 and Intelsat IS-22.",Defence cancellation announcement 4 Nov 2024; 2024 IIP resilient SATCOM investment line,High,0-5 years,"Multi-orbit SATCOM capability approved and contracted, with assured interim wideband and narrowband access maintained.",EV-AUINPUTS-10; EV-AUINPUTS-11; EV-CONVERSA-12; EV-RONINS20-05,4
AUS-IN-04,capability_gap,Sovereign launch and reconstitution pathway,carried,"The stated ambition for a resilient, reconstitutable architecture is not matched by a funded sovereign launch pathway: the 2024 NDS/IIP omitted national launch, while Gilmour's Eris flew a 14-second maiden test in July 2025 and the US TSA (in force July 2024) enables US launches from Australia.",Defence Space Strategy 2022 (reconstitution objective); ASA civil priority 'access to space',Medium,3-10 years,A credible sovereign or assured-access reconstitution option exists for priority payloads.,EV-AUINPUTS-18; EV-AUINPUTS-19; EV-AUKUSLFE-17; EV-AUINPUTS-17,3
AUS-IN-05,capability_gap,Defence space workforce build,carried,The DSR 2023 called for a method to build and sustain a trained Defence space workforce; the first ADF members completed dedicated space operations officer and specialist courses only in June 2026.,Defence Strategic Review 2023,Medium,0-7 years,"A sustained space workforce pipeline exists across operations, capability and intelligence roles.",EV-AUINPUTS-03; EV-USSFCSPO-17,4
AUS-IN-06,policy_priority,National space policy unifying civil and security settings,carried,Space intersects more than 25 government portfolios yet Australia lacks a national space policy; the ASA Advisory Board was dissolved in early 2026 and whole-of-government strategy development was reported on hold in 2024.,USSC brief recommendation 3 (open-source); DSR 2023 centralisation direction,Medium,0-3 years,"A single national policy links civil priorities, Defence space investment and partnership settings.",EV-USSCSPAC-08; EV-USSCSPAC-12; EV-AUINPUTS-19,3
AUS-IN-07,Dependency,Wideband military SATCOM dependency on US and commercial systems,watch-only,"Pending a JP9102 replacement, the ADF relies on hosted payloads on Optus C-1 and Intelsat IS-22 plus access to the US Wideband Global SATCOM constellation (EV-AUINPUTS-11). The register assesses Australia's defence space architecture as structurally dependent on the United States and commercial providers for core services, a dependency deepened in the near term by the JP9102 cancellation (EV-AUINPUTS-20, register ASSESSMENT). USSC characterises Australia as ""a consumer, not a contributor, in space"" (EV-USSCSPAC-09).","Interim posture as reported by Australian Defence Magazine, June 2025 (EV-AUINPUTS-11); no authoritative Defence statement of the dependency itself is held in the register.",**Assessment:** High — dependency is tolerable only while US and commercial capacity remains assured; it defines the near-term partnership need and Australia's negotiating position on SATCOM.,,"Measurable reduction in the share of ADF wideband SATCOM carried on non-Australian-controlled systems, via delivery of the",,0
AUS-IN-08,Dependency,PNT dependency on foreign-owned GNSS,watch-only,"Australian PNT is augmentation of foreign constellations, not sovereign capability: Australia has high visibility of four global (GPS, GLONASS, Galileo, BeiDou) and two regional (QZSS, IRNSS) systems — all foreign-owned — with Geoscience Australia's Positioning Australia program building on top of them (EV-CONVERSA-08). GPS is owned and operated by the US government, and temporary loss poses significant risks to telecommunications, energy systems and disaster response (EV-CONVERSA-01). Precise positioning was estimated (2008) to generate upwards of $73 billion cumulative value to 2030 (EV-CONVERSA-09). SouthPAN, the Australia–NZ augmentation system, procures its space segment from the foreign operator Inmarsat (EV-CONVERSA-10).",Positioning Australia program (Geoscience Australia); Joint PNT Directorate for the Defence dimension (EV-AUINPUTS-15).,"**Assessment:** High — a single-class dependency spanning defence and the civil economy, with demonstrated outage consequences (EV-CONVERSA-15, at AUS-IN-12",,,,0
AUS-IN-09,dependency,Assured weather-satellite services (Himawari dependency),carried,"BoM forecasts and warnings are critically dependent on JMA's Himawari; the November 2024 BoM-JMA strategic arrangement and Himawari-10 contribution are the primary mitigation, with no sovereign alternative before the early 2030s.",BoM-JMA strategic relationship arrangement (11 Nov 2024); BoM CEO statement,High,0-10 years,Continuity of high-cadence weather imagery contractually assured through Himawari-10.,EV-CONVERSA-02; EV-CONVERSA-03; EV-CONVERSA-20; EV-USSCSPAC-10,3
AUS-IN-10,dependency,Earth observation service continuity without a sovereign EO mission,carried,"NSMEO was cancelled in June 2023; EO satellites support over 170 Australian government programs, so continuity rests on foreign missions plus ground-segment investment (Alice Springs upgrade, Landsat Next partnership).",2024-25 Budget ($207.4m GA EO Program); Landsat Next commitment (A$448.7m/11 years),High,0-10 years,"Assured, treaty- or arrangement-backed access to EO data streams for all critical programs.",EV-CONVERSA-11; EV-CONVERSA-18; EV-CONVERSA-05; EV-USSCSPAC-18,4
