id,input_id,partner_id,australian_need,partner_contribution,australian_contribution,mutual_benefit,shared_interest,constraints,confidence,evidence_ids
C-01,AUS-IN-03,P-US,Assured wideband and multi-orbit military SATCOM after JP9102 cancellation.,WGS constellation access under the 2007 MoU and reciprocal MUOS access arrangements.,"WGS-6 funding precedent (~A$927m), Indian Ocean region hosted-payload capacity and ground infrastructure.",Assured allied SATCOM coverage and burden-sharing across the Indo-Pacific.,Resilient allied military communications under the ESC Force Posture Initiative.,Structural dependency deepened until a sovereign multi-orbit acquisition is approved (EV-AUINPUTS-20).,High,EV-USSFCSPO-18; EV-USSFCSPO-19; EV-AUINPUTS-11; EV-USSFCSPO-16
C-02,AUS-IN-14,P-US,Layered SDA sensing and catalogue access for threat warning and attribution (JP9360).,"Space Surveillance Network integration, relocated C-band radar and Space Surveillance Telescope, deep-space sensing expertise.",Southern-hemisphere sensor sites at Exmouth and RAAF operation of the SST - the first southern-hemisphere LEO SSN sensor.,Closure of the southern-hemisphere gap in the allied SDA picture.,Global space domain awareness against grey-zone counterspace activity.,"Reported funding tension between allied hosting costs and sovereign JP9360 (EV-AUINPUTS-14, Low-confidence assessment).",High,EV-USSFCSPO-11; EV-USSFCSPO-12; EV-RONINS20-14; EV-RONINS20-16
C-03,AUS-IN-14,P-AUKUS,All-weather 24/7 deep-space tracking to GEO for JP9360 outcomes.,DARC trilateral program under a reported 22-year MoU; Northrop Grumman development; US and UK sites to follow.,"First DARC site at Exmouth - construction complete September 2024, ahead of schedule.",A three-site global deep-space radar network none of the three could field alone.,AUKUS Pillar 2 advanced capability delivery in the space domain.,Full site operations expected 2027; full three-site system 2032; funding pressure on sovereign SDA reported.,High,EV-AUINPUTS-13; EV-USSFCSPO-14; EV-AUINPUTS-14
C-04,AUS-IN-14,P-JP,SDA data diversity and Indo-Pacific coverage beyond US-sourced feeds.,"Operational SDA monitoring system (2023), satellite interference detection, first SDA satellite planned FY2026.",Southern-hemisphere tracking and shared-longitude polar LEO coverage (ASPI-identified opportunity).,Denser shared SDA picture between two CSpO members on similar longitudes.,Space domain awareness cooperation reiterated at the September 2025 2+2.,FEFTA/Three Principles export processes; no explicit space lines of effort in FSDC-era statements.,Medium,EV-JAPANAU-06; EV-JAPANAU-07; EV-JAPANAU-10; EV-JAPANAU-21; EV-JAPANAU-22
C-05,AUS-IN-14,P-DE,Additional SDA sensor data and catalogue diversity for JP9360.,"GESTRA and TIRA radars, GSSAC civil-military catalogue, stated plan for a permanent global sensor network with partners.",Southern-hemisphere sensor hosting to extend German network coverage.,Mutual catalogue enrichment; Germany's 2023 strategy names Australia an attractive partner.,CSpO co-membership and global SSA coverage ambitions.,No dedicated bilateral space instrument identified; 2019 agency statement of intent unconfirmed (TO_VERIFY).,Medium,EV-GERMANY-03; EV-GERMANY-05; EV-GERMANY-06; EV-GERMANY-08; EV-GERMANY-21
C-06,AUS-IN-15,P-JP,PNT resilience and augmentation diversity beyond GPS dependence.,QZSS regional augmentation and Emergency Warning Service capability over Australia.,QZSS monitoring station hosting in Canberra; 2020 EWS trial participation across agencies.,QZSS ground-segment resilience on Australian territory; regional PNT redundancy.,Resilient regional PNT services.,Arrangements evidenced are civil; defence PNT application not evidenced in the register.,Medium,EV-JAPANAU-04; EV-JAPANAU-05; EV-AUINPUTS-15
C-07,AUS-IN-09,P-JP,Assured continuity of high-cadence weather imagery critical to BoM services.,Himawari imagery every 2.5 minutes anywhere in the Australian region under the 2024 arrangement; ALOS data network.,Himawari-10 collaboration - Australia's largest contribution to international meteorological satellite activities; GA as ALOS Oceania data node.,Shared satellite cost/coverage burden and hemispheric data exchange.,Regional meteorological and EO data continuity.,No sovereign fallback before the early 2030s (EV-CONVERSA-20).,High,EV-CONVERSA-02; EV-CONVERSA-03; EV-JAPANAU-20; EV-CONVERSA-20
C-08,AUS-IN-10,P-US,EO data continuity after NSMEO cancellation.,Landsat Next mission data - weekly whole-of-Earth imaging once operational.,"Core-partner commitment of A$448.7m over 11 years, upgraded Alice Springs ground station, data processing and analytics.",Mission ground-segment coverage for the US; assured data access for Australia.,Open land-imaging continuity (35+ years of GA archive).,Landsat Next timeline uncertain in US budget debates (EV-USSCSPAC-19).,High,EV-USSCSPAC-18; EV-USSCSPAC-19; EV-CONVERSA-18
C-09,AUS-IN-24,P-IN,Reciprocal strategic value from Indian Ocean geography at modest cost.,Gaganyaan program demand for TT&C and crew/module recovery near Australian waters; leader-level recognition.,"Cocos (Keeling) TT&C terminal (commissioned by 13 July 2026, built by Nova Systems) and crew-recovery support under the Nov 2024 Implementation Agreement.","Proven, repeatable ground-segment hosting relationship elevated to prime-ministerial level.",Indian Ocean space and maritime cooperation under the 2026 Joint Declaration.,Extension to defence SSA or launch/re-entry tracking is analyst assessment only; no defence-space instrument yet.,High,EV-QUADINDI-06; EV-QUADINDI-07; EV-QUADINDI-08; EV-PACIFIC-18; EV-QUADINDI-22
C-10,AUS-IN-21,P-US,Civil SSA and re-entry monitoring capability development.,TraCSS program interface and Office of Space Commerce cooperation under the Oct 2024 Joint SoI.,"Civil Space Monitoring Pathfinder plus non-traditional data sources (weather radar, infrasound, seismic).",Better re-entry prediction over the southern hemisphere for both parties.,Space traffic coordination and debris safety.,"TraCSS faces potential funding cuts, making the pathway uncertain (EV-USSCSPAC-17).",Medium,EV-USSCSPAC-16; EV-USSCSPAC-17
C-11,AUS-IN-21,P-QUAD,Regional civil SSA norms and burden-sharing.,"2024 leaders' commitment to share SSA expertise and experience, leveraging civil SSA and space traffic coordination.",Southern-hemisphere sensing geography and national civil SSA program participation.,Collision avoidance and debris management across the Indo-Pacific.,Long-term sustainability of the space environment.,Quad space commitments are civil-domain only; no military SSA route (EV-QUADINDI-23).,Medium,EV-QUADINDI-04; EV-QUADINDI-23
C-12,AUS-IN-04,P-US,"Launch activity, spaceport viability and a step toward reconstitution options.",US launch vehicles and spacecraft permitted to fly from Australia under the TSA (in force 23 July 2024).,"Southern-hemisphere multi-orbit launch geography and spaceport sites (Bowen, Whalers Way, Arnhem cited).",Projected 45-95 launches/decade worth A$460m-1.2b (TO_VERIFY); resilient allied launch options.,"Diversified, resilient allied launch access.",MTCR launch-vehicle technology excluded from the AUKUS exemption; TSA segregated areas limit Australian access and technology spillover.,Medium,EV-AUKUSLFE-16; EV-AUKUSLFE-17; EV-AUKUSLFE-18; EV-AUKUSLFE-19; EV-AUKUSLFE-20; EV-AUKUSLFE-21
C-13,AUS-IN-04,P-DE,Launch cadence and demonstrator activity at Australian ranges.,"German launch and demonstrator programs: HyImpulse SR75 (first Koonibba launch, May 2024), RFA agreement for Whalers Way, DLR ReFEx manifest.","Southern Launch ranges, regulatory approvals and Asia-Pacific spaceport access.",European access to southern polar/SSO launch geography; Australian range utilisation and revenue.,Commercial NewSpace launch market development.,RFA campaign has concentrated on SaxaVord and the Whalers Way agreement appears dormant (EV-GERMANY-16).,Medium,EV-GERMANY-15; EV-GERMANY-16; EV-GERMANY-17; EV-GERMANY-18
C-14,AUS-IN-22,P-US,Influence over the allied objective force Australia will depend on for decades.,"Open invitation into USSF Force Design: common baseline taxonomy, capability/mission area designs, wargaming (IPS LOE 1).","Named equities (DARC), operational contributions since 2020 (OOD, SST, C-band) and a demonstrated hosting record.","Interoperability by design rather than retrofit, on 5-15 year horizons.",Integrated allied force design for contested space.,Nearly all instruments are non-treaty and non-binding; influence depends on sustained contribution (EV-USSFCSPO-20).,High,EV-USSFCSPO-02; EV-USSFCSPO-03; EV-USSFCSPO-05; EV-USSFCSPO-20
