opportunity_id,partner_id,criterion,weight,score_0to5_or_Unknown,rationale
OPP-01,P-US,priority_alignment,20,5,"5/5 x w20 = 20.0 - directly addresses high-urgency post-JP9102 gap (EV-AUINPUTS-10, EV-AUINPUTS-11)"
OPP-01,P-US,capability_maturity,15,5,5/5 x w15 = 15.0 - WGS operational since 2007-era MoU; mature constellation (EV-USSFCSPO-18)
OPP-01,P-US,mutual_benefit,15,4,"4/5 x w15 = 12.0 - validated two-way value: WGS-6 buy-in and MUOS reciprocity (EV-USSFCSPO-18, EV-USSFCSPO-19)"
OPP-01,P-US,value_proposition,15,4,4/5 x w15 = 12.0 - evidenced distinctive contribution: funding plus Indian Ocean ground/hosting (EV-USSFCSPO-19)
OPP-01,P-US,instrument_forum,10,4,4/5 x w10 = 8.0 - WGS MoU and ESC Force Posture Initiative exist with minor conditions (EV-USSFCSPO-16)
OPP-01,P-US,security_releasability,5,4,4/5 x w5 = 4.0 - required exchange runs under existing WGS arrangements (EV-USSFCSPO-18)
OPP-01,P-US,technical_interop,5,4,"4/5 x w5 = 4.0 - compatible, proven systems - ADF has operated WGS access for over a decade (EV-USSFCSPO-18)"
OPP-01,P-US,policy_compatibility,5,5,5/5 x w5 = 5.0 - actively reinforces alliance settings (EV-USSFCSPO-16)
OPP-01,P-US,time_resources,5,4,"4/5 x w5 = 4.0 - supportable within committed resources: 2026 NDS/IIP commits A$5.2-7.2bn to SATCOM and the SPA9102 narrowband RFT is live (EV-MILSATCO-11, EV-MILSATCO-12, EV-MILSATCO-07); note the IIP envelope is planned, not tranche-approved - ASPI reads only ~$590m of the $9-12bn approved through 2034 (EV-AUINPUTS-09, TO_VERIFY; AUS-IN-13)"
OPP-01,P-US,sovereignty,5,2,"2/5 x w5 = 2.0 - material dependency, fallback undefined until multi-orbit acquisition approved (EV-AUINPUTS-20)"
OPP-02,P-US,priority_alignment,20,5,5/5 x w20 = 20.0 - directly addresses high-urgency JP9360 priority (EV-AUINPUTS-12)
OPP-02,P-US,capability_maturity,15,5,"5/5 x w15 = 15.0 - SSN sensors operational at Exmouth: C-band FOC 2017, SST IOC 2022 (EV-USSFCSPO-11, EV-USSFCSPO-12)"
OPP-02,P-US,mutual_benefit,15,4,4/5 x w15 = 12.0 - clear two-way value; US relocated sensors to Australia (EV-USSFCSPO-11)
OPP-02,P-US,value_proposition,15,5,"5/5 x w15 = 15.0 - unique, partner-acknowledged contribution: the USSF Commercial Space Strategy-era strategy names Australia against DARC (one of only two partners named against a specific program, EV-USSFCSPO-04) and the US physically relocated SSN sensors to Australian soil (EV-USSFCSPO-11); southern-hemisphere indispensability assessment corroborating only (EV-RONINS20-16, ASSESSMENT)"
OPP-02,P-US,instrument_forum,10,4,"4/5 x w10 = 8.0 - 2010 Statement of Principles, 2012 MoU, ESC MOU exist (EV-RONINS20-14, EV-USSFCSPO-15) (2012 SSA MoU status TO_VERIFY - possible post-2019 USSPACECOM-era supersession, VEH-US-20)"
OPP-02,P-US,security_releasability,5,4,4/5 x w5 = 4.0 - exchange operating on approved systems for a decade (EV-USSFCSPO-11)
OPP-02,P-US,technical_interop,5,5,5/5 x w5 = 5.0 - demonstrated interoperability - RAAF operates SST in the SSN (EV-USSFCSPO-12)
OPP-02,P-US,policy_compatibility,5,5,5/5 x w5 = 5.0 - actively reinforces alliance objectives (EV-USSFCSPO-16)
OPP-02,P-US,time_resources,5,4,4/5 x w5 = 4.0 - supportable within current operations (EV-USSFCSPO-12)
OPP-02,P-US,sovereignty,5,3,3/5 x w5 = 3.0 - manageable dependency; RAAF operates sensors on Australian soil (EV-USSFCSPO-12)
OPP-02,P-JP,priority_alignment,20,4,"4/5 x w20 = 16.0 - directly addresses JP9360 data-diversity need (EV-AUINPUTS-12, EV-JAPANAU-22)"
OPP-02,P-JP,capability_maturity,15,4,"4/5 x w15 = 12.0 - SDA system operational 2023; first SDA satellite planned FY2026 (EV-JAPANAU-06, EV-JAPANAU-07)"
OPP-02,P-JP,mutual_benefit,15,4,4/5 x w15 = 12.0 - declared interest in this form: 2+2 reiterated space cooperation and unit exchanges (EV-JAPANAU-14)
OPP-02,P-JP,value_proposition,15,4,"4/5 x w15 = 12.0 - evidenced distinctive offer: southern-hemisphere tracking, shared-longitude LEO coverage (EV-JAPANAU-21)"
OPP-02,P-JP,instrument_forum,10,3,"3/5 x w10 = 6.0 - parent instruments exist (JDSC 2022, FSDC 2025) but space scope unclear (EV-JAPANAU-13, EV-JAPANAU-15)"
OPP-02,P-JP,security_releasability,5,3,3/5 x w5 = 3.0 - Information Security Agreement exists; SDA release arrangements unevidenced (EV-JAPANAU-17)
OPP-02,P-JP,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility; study or trial required - no joint SDA trial evidenced (EV-JAPANAU-22)
OPP-02,P-JP,policy_compatibility,5,5,5/5 x w5 = 5.0 - actively reinforces treaty-level RAA and alliance-web settings (EV-JAPANAU-01)
OPP-02,P-JP,time_resources,5,3,3/5 x w5 = 3.0 - supportable with re-prioritisation; dialogue-level so far (EV-JAPANAU-14)
OPP-02,P-JP,sovereignty,5,4,"4/5 x w5 = 4.0 - acceptable; two-way data exchange, no control transfer (EV-JAPANAU-22)"
OPP-02,P-DE,priority_alignment,20,4,4/5 x w20 = 16.0 - directly addresses JP9360 data-diversity need (EV-AUINPUTS-12)
OPP-02,P-DE,capability_maturity,15,4,"4/5 x w15 = 12.0 - GESTRA/TIRA operating with GSSAC catalogue; corroborated program evidence (EV-GERMANY-06, EV-GERMANY-08)"
OPP-02,P-DE,mutual_benefit,15,4,"4/5 x w15 = 12.0 - strategy names Australia attractive partner and seeks global sensor network partners (EV-GERMANY-03, EV-GERMANY-05)"
OPP-02,P-DE,value_proposition,15,4,"4/5 x w15 = 12.0 - southern-hemisphere sites materially extend German coverage (EV-GERMANY-05, EV-RONINS20-16)"
OPP-02,P-DE,instrument_forum,10,3,"3/5 x w10 = 6.0 - parent forum (CSpO) plus the bilateral Declaration of Intent on a global space-surveillance sensor network signed 26 March 2026 and in force (VEH-GERMANY-09); scope of the implementing arrangement not yet negotiated, so route remains Amber-type"
OPP-02,P-DE,security_releasability,5,Unknown,"Unknown x w5 = excluded - Unknown - no evidence on AU-DE releasability; excluded, weights renormalised over 90/100 (EV-GERMANY-14 TO_VERIFY)"
OPP-02,P-DE,technical_interop,5,3,3/5 x w5 = 3.0 - partial compatibility; catalogue exchange needs study (EV-GERMANY-08)
OPP-02,P-DE,policy_compatibility,5,4,"4/5 x w5 = 4.0 - consistent with CSpO and rejection of destructive ASAT tests (EV-GERMANY-11, EV-GERMANY-13)"
OPP-02,P-DE,time_resources,5,Unknown,"Unknown x w5 = excluded - Unknown - no evidence of staff/schedule on either side; excluded, weights renormalised over 90/100"
OPP-02,P-DE,sovereignty,5,4,4/5 x w5 = 4.0 - acceptable; reciprocal catalogue exchange with EU/US catalogue complementarity (EV-GERMANY-08)
OPP-03,P-AUKUS,priority_alignment,20,5,"5/5 x w20 = 20.0 - directly addresses high-urgency deep-space tracking priority with sponsor endorsement (EV-AUINPUTS-12, EV-AUINPUTS-13)"
OPP-03,P-AUKUS,capability_maturity,15,4,"4/5 x w15 = 12.0 - operational-adjacent: Site 1 built ahead of schedule, full ops 2027 - corroborated program evidence (EV-USSFCSPO-14)"
