tranche,name,window,opportunity_id,title,partner,band,pathway,treatment,owner,vehicles,next_action,date_or_window,cost_signal,off_ramp
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-14,SPA9102 narrowband UHF delivery: allied interoperability and industrial participation,P-US (United States),A (87 raw),AMBER,Act now (AMBER),CASG,"AusTender ATM ADSS/NOT/84124/1 (sovereign procurement, EV-MILSATCO-09 TO_VERIFY); VEH-US-26 (WGS MoU - allied interoperability edge, In force)","Verify the AusTender notice, close date and First-Pass status by 1 Aug 2026 (GL-27); shape the RFT response before the reported 19 Aug 2026 close; confirm Second Pass timing against ~Nov 2026 tender responses and name the approving authority (GL-26).","1 Aug 2026 (verify) / 19 Aug 2026 (close, TO_VERIFY) / Nov 2026 (Second Pass timing)","Program-level (existing 2026 IIP A$5.2-7.2bn decade SATCOM envelope is context, not an ask; response costs TBD at validation)","Acquisition slips: extend IS-22 UHF options (to 2041) and lease allied narrowband capacity (recorded second_best) - bridge, not destination (DEP-03). Architecture read-across to OPP-01 recorded at Sec"
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-01,Assured multi-orbit SATCOM through allied and commercial augmentation (architecture decision space),P-US (United States),A (86 raw),AMBER,Act now (AMBER),DSC,"VEH-US-26 (WGS MoU, In force; post-2029 renewal path TO_VERIFY); VEH-US-06 (Enhanced Space Cooperation FPI, In force); VEH-US-02 (AUSMIN, In force); VEH-US-25 (USSF-ASC Statement of Intent, In force)",Name the accountable authority by 19 Aug 2026 (GL-02); state at Second Pass whether OPP-14's single-UHF-GEO design pre-commits the wideband/multi-orbit architecture (recorded interdependency); table the wideband and alternative-communications lines of effort at the next AUSMIN; open WGS access-exten,19 Aug 2026 (owner named); next IIP cycle (wideband scoping/Second Pass target); early 2028 (demonstrator gate); 2029 (WGS horizon),"Program-level (wideband acquisition unapproved; IIP envelope committed but planned-vs-approved gap recorded, AUS-IN-13/EV-AUINPUTS-09; TBD at validation)","WGS + Optus C1 (to Sep 2034) + IS-22 interim posture with the 2028 sovereign demonstrator as proof point; V7 s53 condition set (dependency tolerance, fallback, exit, data control) written into the wid"
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-02,Southern-hemisphere SDA sensing network deepening,P-US (United States),A (91 raw - equal top of table),AMBER,Act now (AMBER),DSC,"VEH-US-17 (SSA Partnership Statement of Principles 2010, In force); VEH-US-24 (Enhanced Space Cooperation MoU, In force); VEH-US-20 (2012 SSA Data-Sharing MoU - heritage citation only, TO_VERIFY, possible supersession)","Continue sensor operations (in execution); validate EV-AUINPUTS-14 (DARC/JP9360 funding-pressure claim, Low confidence) before the next AUSMIN (GL-03); take expansion decisions only through the single portfolio funding decision shared with OPP-03/OPP-18.",Before next AUSMIN (EV-AUINPUTS-14 validated; portfolio decision in the IIP cycle),TBD (no new-money ask implied by the treatment label; expansion conditional on the portfolio decision),CSpO multilateral data-sharing track (recorded second_best) if bilateral channels stall; expansion halts if the portfolio decision prioritises the sovereign JP9360 layer.
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-03,DARC trilateral completion and sovereign SDA balance,P-AUKUS (AUKUS trilateral),A (89 raw),AMBER,Act now (AMBER),DSC,"VEH-MULTILATERAL-18 (DARC trilateral MoU US-UK-AU, In force, reported 22-year duration); VEH-US-21 (DARC Trilateral MoU - US register leg, In force)","Sustain Site 1 delivery (Early Use since Sep 2025, construction ~3 months early); negotiate Australian data-access terms (products, latency, tasking share) before 2027 full operations (GL-31); record the s53 sovereignty condition set - data-access guarantee, hosting offsets (C-23/AUS-IN-17), funding",Before 2027 FOC (data-access terms and sovereignty conditions); portfolio funding decision before next AUSMIN (GL-08),TBD (hosting support costs to be validated with EV-AUINPUTS-14; no new-money ask implied),"Sovereign JP9360 tranche acceleration (recorded second_best) if trilateral funding tensions bind; without data-access terms by FOC, delivery counts as a hosted capability, not an Australian one - re-p"
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-07,Early integration into USSF Force Design (IPS LOE 1),P-US (United States),A (87 raw / 92 renormalised sensitivity view - former #1 rank was a renormalisation artefact),AMBER,Act now - CONDITIONAL (AMBER),DSC,"VEH-US-25 (USSF-Australian Space Command Statement of Intent, 3 June 2026, In force); VEH-US-24 (Enhanced Space Cooperation MoU 2023, In force)","Approve participation SUBJECT TO release-tier confirmation for Force Design artefacts (GL-12, ACSO/FCP channel) before the first Australian Force Design input; document the accepted-influence risk and institution-agnostic fallback in the participation decision (GL-32); commit named planners against ","2026 design-in year; release tier before first input (GL-12, with GL-32)","TBD (workforce, not money, is the recorded constraint - first SIET graduates June 2026, DEP-09)","CSpO-mediated participation (recorded second_best) if bilateral bandwidth constrains; if the release tier is not confirmed, hold all inputs - the condition is the decision."
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-10,Earth observation continuity portfolio - Japan leg (Himawari/BoM-JMA),P-JP (Japan),A (91 raw - equal top of table),AMBER,Act now (AMBER),TBD,"BoM-JMA Strategic Relationship Arrangement (in force 11 November 2024, EV-CONVERSA-03 - no VEH ID assigned in the vehicle register: register gap, watch item); VEH-JAPAN-09 (Japan-Australia 2+2, In force - ministerial channel)","Sustain Himawari-10 contribution delivery (committed, EV-CONVERSA-03); confirm the revised Himawari-10 schedule (build delayed) and define comparable-cadence contingency imagery per DEP-02's success condition at the next BoM-JMA program review (GL-34); verify the ALOS-4 access channel (EV-EOCONTIN-1",Next BoM-JMA program review (GL-34); continuous delivery meanwhile,TBD (co-investment committed; contingency-access costs unquantified),Copernicus hub and commercial legs at lower cadence (SCN-02 fallback); the OPP-20 commercial hedge counts as mitigation only once crisis-priority clauses are contracted (recorded interdependency).
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-18,Sovereign and commercial SDA layering into allied constructs (JCO/CDMC line),P-US (United States),A (84 raw),AMBER,Act now - NOTE delivery + DIRECT verification (AMBER),DSC,"VEH-MULTILATERAL-30 (JCO cell participation - TO_VERIFY; verification is the directed action); VEH-US-38 (May 2026 expanded space-surveillance partnership - TO_VERIFY); Per-provider commercial contracts (EV-JAPANSDA-17, extant)",NOTE continued delivery (CDMC operating; JCO-200 delivered Sep 2025; sovereign RPO demonstrated Feb 2026); DIRECT verification of JCO participation terms and the PWSA-connection intent by Q4 2026 (GL-28) - it gates the reported late-2026 PWSA timeline; restate the hedge value against verified terms ,Q4 2026 (GL-28); funding via the portfolio decision before next AUSMIN (GL-29),"TBD (sovereign-layer scale-up unfunded - no JP9360 tranche award evidenced 2025-26, EV-SDAPROGR-03)",Bilateral per-provider sensor-data contracts (recorded second_best) if JCO terms cannot be verified; the 'releasable hedge' claim (DEP-06) lapses if terms fail or the sensor mix stays EOS-dependent - 
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-04,Japan-Australia SDA information sharing and unit-level exchanges,P-JP (Japan),"B (76 raw - reverted from a silent v2 re-score, declared)",GREEN,Quick win (GREEN) - executed immediately as the tranche-1 diversification leg,DSC,"VEH-JAPAN-09 (2+2 Ministerial Consultations, In force - reiterated mandate); VEH-JAPAN-07 (Information Security Agreement, In force); VEH-JAPAN-12 (Framework for Strategic Defence Coordination, In force)",Stand up the recurring unit-level exchange and shareable-tier SDA information exchange under the existing 2+2 mandate now - liaison exchanges already commencing (EV-JAPANSDA-02); the fastest space partnership win available and the plan's nearest non-US leg (DEP-01 counterweight).,Immediate; first recurring exchange serial before Dec 2026,Minor (Quick-win test requires low resource demand; order of magnitude TBD at validation),None needed (GREEN pathway; all components Green). CSpO-track information sharing if bilateral tempo lags (recorded second_best).
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-21,"Coalition space exercise and wargame line (Global Sentinel, Schriever, Apollo Insights)",P-US (United States),B (77 raw),GREEN,Quick win (GREEN),DSC,"VEH-US-31 (Exercise Global Sentinel, In force); VEH-US-32 (Schriever Wargame, In force); VEH-MULTILATERAL-11 (Operation Olympic Defender, In force)","Expand billets and bid for command/planning roles in each 2026-27 serial; verify Space Flag currency (Australian participation last confirmed 2019, EV-MULTILAT-18 TO_VERIFY).",Each 2026-27 exercise serial,Minor (Quick-win test requires low resource demand; order of magnitude TBD at validation),Bilateral exercise integration via Talisman Sabre space serials (recorded second_best) if multilateral billets tighten.
T1,Tranche 1 - Decide and deliver now,Now to December 2026,OPP-17,Japan defence-space upgrade - ACCELERATED PATHWAY ACTION ONLY (arrangement scoping; delivery remains Tranche 2),P-JP (Japan),B (76 raw),AMBER,Build pathway (AMBER) - one lever accelerated into T1 per the sovereign-balance ruling,Strategy&Plans,"VEH-JAPAN-09 (2+2, In force - the mandate to convert); VEH-JAPAN-12 (FSDC, In force - the annex host)","Scope the dedicated bilateral space arrangement (FSDC space annex terms of reference) inside Japan's FY2026 Space Operations Command stand-up window, before a US-only pattern normalises - the recorded binding gap is the absent instrument; scoping costs nothing but staff effort and buys the portfolio",Within Japan's FY2026 Space Operations Command stand-up window,None (scoping is staff effort; negotiation and delivery costs TBD at T2 entry),Hold at CSpO-tier sharing plus JCO Pacific Cell (recorded exit condition) if no dedicated arrangement is scoped within the FY2026 window.
