scenario_id,scenario,question,opportunity_id,impact,fallback,assessment
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-01,Jamming pressure validates the multi-orbit case and raises the value of assured-access annexes.,Interim posture (WGS + C1 + IS-22) with EMI-resilient narrowband prioritised.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-14,EMI/jamming resilience is already an explicit SPA9102 requirement - competition confirms the design brief.,IS-22 anti-jam UHF continuity to 2033+.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-02,Attribution demand rises; allied sensor integration becomes daily business rather than contingency.,CSpO shareable tiers if bilateral feeds tighten.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-18,Commercial-unclassified SDA becomes the attribution layer that can be shown publicly.,Direct provider contracts outside the JCO construct.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-09,MNF-OOD is the standing response vehicle; Operation Selene-type serials become persistent.,Bilateral US channel via the ESC MoU.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-15,"Jamming/spoofing of GNSS is the demonstrated, currently-employed vector this option answers.",SouthPAN integrity layer for benign-environment functions only.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-01,Competition,"Under normalised grey-zone counterspace activity (jamming, dazzling, cyber intrusion, co-orbital manoeuvre), does the portfolio still deliver its effects?",OPP-04,Shareable-tier SDA exchange with Japan builds regional attribution credibility at low cost.,CSpO-track sharing.,"The portfolio is broadly competition-shaped: its strongest options (OPP-14, OPP-18, OPP-09) are precisely the grey-zone answers. The binding constraints are workforce depth (DEP-09) and the unfunded sovereign SDA fusion layer (DEP-06), not partner willingness."
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-10,Civil EO/weather requests may be deprioritised - the Black Summer precedent (a partner declined a data request during its own disaster).,Commercial tasking (OPP-20) plus Copernicus hub products.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-01,WGS bandwidth prioritisation risk under US operational demand.,C1/IS-22 hosted capacity and commercial multi-orbit leases.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-20,Direct-tasking DAP line is the designed crisis hedge - but only if crisis-priority clauses are contracted.,Multi-vendor spot tasking at surge prices.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-19,Pacific RF-data continuity matters most exactly when crisis hits; commercial provider terms decide availability.,Direct DFAT-FFA contract escalation.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-11,Starlink surge deployment is proven (300+ units into Vanuatu after the December 2024 earthquake) but rests on one provider's posture.,Community gateways and cable redundancy.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-05,QZSS regional augmentation continuity depends on Japanese national priorities.,SouthPAN and GPS civil layers.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-02,Crisis,"In a regional crisis with concurrent demand, when partners' space assets are committed to their own needs, which Australian services fail first?",OPP-06,Cocos support commitments are contractually anchored and low-exposure - a stabiliser.,Reschedule against Gaganyaan slips.,"Concurrent-demand denial is the documented, repeated failure mode (Black Summer data refusal; April 2023 Inmarsat outage hitting four states' agriculture). The portfolio answer is contractual: crisis-priority and availability clauses (OPP-14 support model, OPP-20 DAP renewal) convert goodwill services into assured ones. Register input AUS-IN-16 (continuity of space-enabled critical national functi"
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-15,"M-code becomes the core navigation-warfare layer; accession status is therefore a war-readiness question, not a program nicety.",Quantum timing + inertial layers under DSTG lines.,"Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-14,The EMI-resilient sovereign UHF bird is the survivable C2 backbone for deployed forces.,WGS/MUOS allied capacity under wartime prioritisation.,"Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-01,Multi-orbit diversity is the survivability design; single-orbit legacy is the vulnerability the NDS names.,Proliferated-LEO commercial augmentation.,"Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-09,MNF-OOD carries the collective space-defence response; the defence-of-orbital-assets CONOPS (due end-2026) is the playbook.,National Op Dyurra tasks under bilateral US C2.,"Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
SCN-03,Conflict,"In high-intensity conflict with sustained GNSS denial and attacks on SATCOM, which options carry the force?",OPP-03,DARC deep-space custody feeds targeting-grade awareness of hostile GEO manoeuvre.,SST/C-band plus commercial deep-space telescopes.,"Conflict exposes the difference between access and assurance: every allied service Australia uses will be prioritised by its owner's war needs first (DEP-01). Options that create Australian-controlled capability (OPP-14, OPP-15 quantum line, OPP-18) are the conflict hedges; the rest buy influence over allied prioritisation."
