opportunity_id,partner_id,component,status,note
OPP-01,P-US,instrument,GREEN,"WGS MoU 2007 and ESC FPI in place (EV-USSFCSPO-16, EV-USSFCSPO-18)"
OPP-01,P-US,forum,GREEN,AUSMIN/ESC governance channel (EV-USSFCSPO-16)
OPP-01,P-US,owners,GREEN,Defence Space Command and USSF/USSPACECOM named (EV-USSFCSPO-15)
OPP-01,P-US,authority,AMBER,"narrowband at RFT under First Pass only; wideband and alternative-communications lines of effort remain unscoped (EV-MILSATCO-09, EV-MILSATCO-10)"
OPP-01,P-US,security,GREEN,exchange proven under existing WGS arrangements (EV-USSFCSPO-18)
OPP-01,P-US,technical,GREEN,WGS/MUOS interoperability demonstrated in service (EV-USSFCSPO-19)
OPP-01,P-US,operational,GREEN,ADF is the operating user today (EV-AUINPUTS-11)
OPP-01,P-US,resource,AMBER,"IIP envelope committed (A$5.2-7.2bn) but wideband acquisition unapproved; interim posture rests on WGS to the 2029 access horizon, Optus C1 contracted to September 2034 and Intelsat IS-22 UHF to at least 2033 (EV-MILSATCO-12, EV-MILSATCO-13, EV-MILSATCO-15, EV-MILSATCO-16, EV-MILSATCO-22)"
OPP-01,P-US,sovereignty,AMBER,structural dependency on US and commercial providers (EV-AUINPUTS-20)
OPP-01,P-US,mechanism,GREEN,"MoU plus hosted-payload/commercial contract forms proven (EV-USSFCSPO-18, EV-USSFCSPO-19)"
OPP-02,P-US,instrument,GREEN,"2010 Statement of Principles (VEH-US-17, In force) and ESC MOU (VEH-US-24, In force) carry the GREEN; the 2012 SSA Data-Sharing MoU is cited for heritage only - status TO_VERIFY, possible post-2019 supersession (VEH-US-20; EV-RONINS20-14, EV-USSFCSPO-15 Medium/not directly accessed)"
OPP-02,P-US,forum,GREEN,ESC FPI and CSpO channels active (EV-USSFCSPO-16)
OPP-02,P-US,owners,GREEN,RAAF/DSpC and USSF SpOC evidenced (EV-USSFCSPO-12)
OPP-02,P-US,authority,GREEN,operating arrangements approved and in force (EV-USSFCSPO-11)
OPP-02,P-US,security,GREEN,sensor data flows within the SSN today (EV-USSFCSPO-11)
OPP-02,P-US,technical,GREEN,sensors integrated as SSN nodes (EV-USSFCSPO-11)
OPP-02,P-US,operational,GREEN,"sensor triple now operating: SST FOC 19 August 2025, C-band FOC, DARC Early Use from September 2025 (EV-SDAPROGR-08, EV-SDAPROGR-10, EV-SDAPROGR-12)"
